"policyConfigID","policyID","addUnlistedPatient","QA","insightActive","connectActive","validFrom","validTill"
11673,1430,True,True,True,True,"2024-01-11",NULL
11687,1477,True,True,True,True,"2024-01-11",NULL
11689,1664,True,True,True,True,"2024-01-11",NULL
11691,1889,True,True,True,True,"2024-01-11",NULL
11699,1891,False,True,True,True,"2024-01-11",NULL
11701,1704,True,True,True,True,"2024-01-11",NULL
11717,1669,True,True,True,True,"2024-01-11",NULL
11720,1673,True,True,True,True,"2024-01-11",NULL
11725,942,False,True,True,True,"2024-01-11",NULL
11728,4475,False,True,True,True,"2024-01-11",NULL
11730,824,False,True,True,True,"2024-01-11",NULL
11734,825,True,True,True,True,"2024-01-11",NULL
11735,1325,False,True,True,True,"2024-01-11",NULL
11736,953,True,True,True,True,"2024-01-11",NULL
11739,1034,False,True,True,True,"2024-01-11",NULL
11744,562,False,True,True,True,"2024-01-12",NULL
11745,1660,False,True,True,True,"2024-01-12",NULL
11746,1070,False,True,True,True,"2024-01-12",NULL
11747,1478,True,True,True,True,"2024-01-12",NULL
11771,1322,True,True,True,True,"2024-01-16",NULL
11772,1323,True,True,True,True,"2024-01-16",NULL
11774,828,True,True,True,True,"2024-01-16",NULL
11776,811,True,True,True,True,"2024-01-16",NULL
11778,1438,True,True,True,True,"2024-01-16",NULL
11780,1481,True,True,True,True,"2024-01-16",NULL
11783,1416,True,True,True,True,"2024-01-17",NULL
11784,262,True,True,True,True,"2024-01-17",NULL
11788,602,True,True,True,True,"2024-01-17",NULL
11790,939,True,True,True,True,"2024-01-17",NULL
11792,635,True,True,True,True,"2024-01-17",NULL
11794,639,True,True,True,True,"2024-01-17",NULL
11795,642,True,True,True,True,"2024-01-17",NULL
11796,643,False,True,True,True,"2024-01-17",NULL
11797,644,True,True,True,True,"2024-01-17",NULL
11798,645,True,True,True,True,"2024-01-17",NULL
11799,648,True,True,True,True,"2024-01-17",NULL
11800,649,False,True,True,True,"2024-01-17",NULL
11801,650,True,True,True,True,"2024-01-17",NULL
11802,652,True,True,True,True,"2024-01-17",NULL
11803,653,True,True,True,True,"2024-01-17",NULL
11804,655,True,True,True,True,"2024-01-17",NULL
