"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3"
1851,1649,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-02-06 05:00:00+00",NULL,"2024-01-23 20:15:23.997055+00","450972","2024-01-23 20:15:23.997055+00",NULL,NULL,False,1649,1262,477,"2024-01-23 20:15:23.997055+00","450972","2024-01-23 20:15:23.997055+00",NULL,477,"UHEX23MP0112521_000_Eng_CRN_MLI_ID-Card_Medicare-DSNP-PRNC (2) (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/UHEX23MP0112521_000_Eng_CRN_MLI_ID-Card_Medicare-DSNP-PRNC%20%282%29%20%281%29.pdf","2024-01-11 16:37:52.155644+00","450972","2024-01-11 16:37:52.155644+00",NULL
1108,1076,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2022-11-02 04:00:00+00",NULL,"2022-11-01 16:26:53.110697+00","216672","2022-11-01 16:26:53.110697+00",NULL,NULL,False,1076,1303,301,"2022-11-01 16:26:53.110697+00","216672","2022-11-01 16:26:53.110697+00",NULL,301,"Elixir MTM-DTM Survey_10.27.2022.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Elixir%20MTM-DTM%20Survey_10.27.2022.pdf","2022-11-01 16:01:52.280291+00","216672","2022-11-01 16:01:52.280291+00",NULL
1125,1093,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2022-11-02 04:00:00+00",NULL,"2022-11-01 18:38:23.492135+00","216672","2022-11-01 18:38:23.492135+00",NULL,NULL,False,1093,1419,301,"2022-11-01 18:38:23.492135+00","216672","2022-11-01 18:38:23.492135+00",NULL,301,"Elixir MTM-DTM Survey_10.27.2022.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Elixir%20MTM-DTM%20Survey_10.27.2022.pdf","2022-11-01 16:01:52.280291+00","216672","2022-11-01 16:01:52.280291+00",NULL
1289,1125,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-05-12 04:00:00+00",NULL,"2023-05-11 16:52:01.334315+00","346159","2023-05-11 16:54:57.724257+00","346159",NULL,True,1125,1058,331,"2023-05-11 16:52:01.334315+00","346159","2023-05-11 16:52:01.334315+00",NULL,331,"English_MAPD.PDP NDN-MLI.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/English_MAPD.PDP%20NDN-MLI.pdf","2023-05-11 16:49:25.284702+00","346159","2023-05-11 16:49:25.284702+00",NULL
1291,1127,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-05-12 04:00:00+00",NULL,"2023-05-11 16:53:04.573619+00","346159","2023-05-11 17:11:40.693168+00","346159",NULL,True,1127,1196,331,"2023-05-11 16:53:04.573619+00","346159","2023-05-11 16:53:04.573619+00",NULL,331,"English_MAPD.PDP NDN-MLI.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/English_MAPD.PDP%20NDN-MLI.pdf","2023-05-11 16:49:25.284702+00","346159","2023-05-11 16:49:25.284702+00",NULL
1306,1141,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-06-06 04:00:00+00",NULL,"2023-06-05 19:47:23.965782+00","117957","2023-06-05 19:47:23.965782+00",NULL,NULL,False,1141,1947,341,"2023-06-05 19:47:23.965782+00","117957","2023-06-05 19:47:23.965782+00",NULL,341,"Moda (S5975) - Multi-Language Insert.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Moda%20%28S5975%29%20-%20Multi-Language%20Insert.pdf","2023-06-05 19:47:23.965782+00","117957","2023-06-05 19:47:23.965782+00",NULL
1322,1159,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-11-15 20:41:00.779856+00","450972","2023-11-15 20:41:00.779856+00",NULL,NULL,False,1159,1895,366,"2023-11-15 20:41:00.779856+00","450972","2023-11-15 20:41:00.779856+00",NULL,366,"CDPHP 23-24775 Multi-Language Insert and Non-Discrimination Statement - Medicare 8.9.23 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/CDPHP%2023-24775%20Multi-Language%20Insert%20and%20Non-Discrimination%20Statement%20-%20Medicare%208.9.23%20%281%29.pdf","2023-11-15 20:41:00.779856+00","450972","2023-11-15 20:41:00.779856+00",NULL
1336,1173,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-11-21 05:00:00+00",NULL,"2023-11-17 16:27:47.04549+00","450972","2023-11-17 16:27:47.04549+00",NULL,NULL,False,1173,648,367,"2023-11-17 16:27:47.04549+00","450972","2023-11-17 16:27:47.04549+00",NULL,367,"Combined_MLI_Outcomes_2024 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Combined_MLI_Outcomes_2024%20%281%29.pdf","2023-11-16 21:38:29.970187+00","450972","2023-11-16 21:38:29.970187+00",NULL
1367,1204,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2023-11-21 05:00:00+00",NULL,"2023-11-17 16:49:09.856537+00","450972","2023-11-17 16:49:09.856537+00",NULL,NULL,False,1204,878,367,"2023-11-17 16:49:09.856537+00","450972","2023-11-17 16:49:09.856537+00",NULL,367,"Combined_MLI_Outcomes_2024 (1).pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/Combined_MLI_Outcomes_2024%20%281%29.pdf","2023-11-16 21:38:29.970187+00","450972","2023-11-16 21:38:29.970187+00",NULL
1381,1218,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-06 22:51:00.429253+00","450972","2023-12-06 22:51:00.429253+00",NULL,NULL,False,1218,1418,373,"2023-12-06 22:51:00.429253+00","450972","2023-12-06 22:51:00.429253+00",NULL,373,"SUM-22-60593-Multi-Language Insert-flier-MULTI.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/SUM-22-60593-Multi-Language%20Insert-flier-MULTI.pdf","2023-12-06 22:51:00.429253+00","450972","2023-12-06 22:51:00.429253+00",NULL
