"documentPlanID","policyS3DocumentMappingID","pbp","cmsContractNumber","carrier","account","group","serviceQualifier","documentType","isDefaultDocument","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyDocumentID","isDeleted","s3DocumentMappingID","policyID","policyS3DocumentID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3DocumentID-2","s3DocumentName","s3DocumentURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3","policyID-2","policyName","policyTypeID","IsMedicarePolicy","createdAt-4","createdBy-4","updatedAt-4","updatedBy-4","contractID","contractID-2","contractName","clientID","clientID-2","clientName"
1431,1260,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 18:32:59.760893+00","216672","2023-12-14 18:32:59.760893+00",NULL,NULL,False,1260,2080,386,"2023-12-14 18:32:59.760893+00","216672","2023-12-14 18:32:59.760893+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2080,"ESI - Centene - H1353",6,True,"2023-11-16 22:09:07.838362+00",NULL,"2023-11-16 22:09:07.838362+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1444,1273,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 18:40:32.604361+00","216672","2023-12-14 18:40:32.604361+00",NULL,NULL,False,1273,2093,392,"2023-12-14 18:40:32.604361+00","216672","2023-12-14 18:40:32.604361+00",NULL,392,"MACNDSNPORv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNDSNPORv1.pdf","2023-12-14 18:40:32.604361+00","216672","2023-12-14 18:40:32.604361+00",NULL,2093,"ESI - Centene - H2174",6,True,"2023-11-16 22:22:30.399941+00",NULL,"2023-11-16 22:22:30.399941+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1457,1280,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 19:56:40.520474+00","216672","2023-12-14 19:56:40.520474+00",NULL,NULL,False,1280,2098,386,"2023-12-14 19:56:40.520474+00","216672","2023-12-14 19:56:40.520474+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2098,"ESI - Centene - H3047",6,True,"2023-11-16 22:25:59.410526+00",NULL,"2023-11-16 22:25:59.410526+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1470,1293,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 20:57:55.104366+00","216672","2023-12-14 20:57:55.104366+00",NULL,NULL,False,1293,2107,386,"2023-12-14 20:57:55.104366+00","216672","2023-12-14 20:57:55.104366+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2107,"ESI - Centene - H4847",6,True,"2023-11-16 22:32:15.818915+00",NULL,"2023-11-16 22:32:15.818915+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1495,1313,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:36:54.611007+00","216672","2023-12-14 22:36:54.611007+00",NULL,NULL,False,1313,2125,386,"2023-12-14 22:36:54.611007+00","216672","2023-12-14 22:36:54.611007+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2125,"ESI - Centene - H6605",6,True,"2023-11-17 17:08:13.04683+00",NULL,"2023-11-17 17:08:13.04683+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1507,1325,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:43:06.267357+00","216672","2023-12-14 22:43:06.267357+00",NULL,NULL,False,1325,2136,387,"2023-12-14 22:43:06.267357+00","216672","2023-12-14 22:43:06.267357+00",NULL,387,"MACNMEDDNOVv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDNOVv1.pdf","2023-12-14 17:13:22.087507+00","216672","2023-12-14 17:13:22.087507+00",NULL,2136,"ESI - Centene - H7399",6,True,"2023-11-17 21:06:36.291429+00",NULL,"2023-11-17 21:06:36.291429+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1519,1337,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00",NULL,"2023-12-14 22:54:37.429266+00","216672","2023-12-14 22:54:37.429266+00",NULL,NULL,False,1337,2147,386,"2023-12-14 22:54:37.429266+00","216672","2023-12-14 22:54:37.429266+00",NULL,386,"MACNMEDDWHIv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACNMEDDWHIv1.pdf","2023-12-14 17:02:21.300249+00","216672","2023-12-14 17:02:21.300249+00",NULL,2147,"ESI - Centene - H9364",6,True,"2023-11-17 21:24:48.882117+00",NULL,"2023-11-17 21:24:48.882117+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1544,1362,NULL,NULL,"92S9","RSHPDSNP",NULL,"CMR","1st Additional PDF in SPT",False,"2024-01-01 05:00:00+00",NULL,"2023-12-15 02:08:51.944421+00","216672","2023-12-15 02:08:51.944421+00",NULL,NULL,False,1362,2006,410,"2023-12-15 02:08:51.944421+00","216672","2023-12-15 02:08:51.944421+00",NULL,410,"MARSHPDv3.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MARSHPDv3.pdf","2023-12-15 02:08:51.944421+00","216672","2023-12-15 02:08:51.944421+00",NULL,2006,"ESI - RiverSpring - H6776",6,True,"2023-10-19 21:34:09.777225+00",NULL,"2023-10-19 21:34:09.777225+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1531,1349,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-01 05:00:00+00","2024-01-21 04:59:59.999+00","2023-12-14 23:05:52.705977+00","216672","2024-01-20 16:53:14.969605+00","117957",NULL,False,1349,1997,407,"2023-12-14 23:05:52.705977+00","216672","2023-12-14 23:05:52.705977+00",NULL,407,"MACMSv1.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACMSv1.pdf","2023-12-14 23:05:52.705977+00","216672","2023-12-14 23:05:52.705977+00",NULL,1997,"ESI - EMI - S5877",6,True,"2023-10-19 21:23:06.199674+00",NULL,"2023-10-19 21:23:06.199674+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
1818,1618,NULL,NULL,NULL,NULL,NULL,"CMR","1st Additional PDF in SPT",True,"2024-01-21 05:00:00+00",NULL,"2024-01-20 16:54:27.147344+00","117957","2024-01-20 16:54:27.147344+00",NULL,NULL,False,1618,2041,480,"2024-01-20 16:54:27.147344+00","117957","2024-01-20 16:54:27.147344+00",NULL,480,"MACMSv2.pdf","https://cc-policy-config-logo-docs-prod.s3.amazonaws.com/MACMSv2.pdf","2024-01-20 16:47:35.716866+00","117957","2024-01-20 16:47:35.716866+00",NULL,2041,"ESI - HealthFirst - H1099",6,True,"2023-11-08 14:57:03.840436+00",NULL,"2023-11-08 14:57:03.840436+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
